data:Individuals,Individuals,dt:Audience,0
data:IndividualsWithMembership,Individuals with membership,dt:Audience,0
data:MealDelivery,Meal delivery,dt:CateringAmenity,0
data:Medieval,Medieval,dt:ArchitecturalStyle,0
data:MobilHomeHire,Mobile home hire,dt:CampingAndCaravanningAmenity,0
data:Modern,Modern,dt:ArchitecturalStyle,0
data:NeoGothic,Neo-gothic,dt:ArchitecturalStyle,0
data:NewYearsEveForGroups,New year's eve dinner for groups,dt:CateringAmenity,0
data:Firework,Firework,dt:CulturalTheme,0
data:FolkMusic,Folk music,dt:CulturalTheme,0
data:ForeignCuisine,Foreign cuisine,dt:CuisineCategory,0
data:Gastronomy,Gastronomy,dt:CulturalTheme,0
data:Geology,Geology,dt:CulturalTheme,0
data:Glassware,Glassware,dt:CulturalTheme,0
data:GourmetCuisine,Gourmet cuisine,dt:CuisineCategory,0
data:GrillOrRotisserie,Grill or rotisserie,dt:CuisineCategory,0
data:HalalCuisine,Halal cuisine,dt:CuisineCategory,0
data:Health,Health,dt:CulturalTheme,0
data:HighTech,High tech,dt:CulturalTheme,0
data:HipHopRapMusic,Hip hop or rap music,dt:CulturalTheme,0
data:HistoricCharacter,Historic character,dt:CulturalTheme,0
data:IndianCuisine,Indian cuisine,dt:CuisineCategory,0
data:InovativeFrenchCuisine,Inovative french cuisine,dt:CuisineCategory,0
data:InventiveCuisine,Inventive cuisine,dt:CuisineCategory,0
data:KosherCuisine,Kosher cuisine,dt:CuisineCategory,0
data:LyonnaiseBouchon,Lyonnaise bouchon,dt:CuisineCategory,0
data:MediterraneanCuisine,Mediterranean cuisine,dt:CuisineCategory,0
data:NorthAmericanCuisine,North american cuisine,dt:CuisineCategory,0
data:OrganicCuisine,Organic cuisine,dt:CuisineCategory,0
data:Pizzeria,Pizzeria,dt:CuisineCategory,0
data:SingleProductSpecialities,Single product specialities,dt:CuisineCategory,0
data:SouthAmericanCuisine,South american cuisine,dt:CuisineCategory,0
data:SpecialDietCuisine,Special diet cuisine,dt:CuisineCategory,0
data:SportsEquipmentRental,Sports equipment rental,dt:CommonAmenity,0
data:SquashCourt,Squash court,dt:CommonAmenity,0
data:SupervisedBeach,Supervised beach,dt:CommonAmenity,0
